Figure 7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,target,value,,Ecolohical sector,Human,Animal,Environment,,Host_phylogroup,A,B1,B2,C,D,F,G,cladeI,,Length_distribution,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,Copy_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,cir-group,Conj,mob_unconj,unmob,,ARG_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197
P1,Human,16,,P1,16,2,25,43,P1,48.84 ,41.86 ,0.00 ,0.00 ,6.98 ,0.00 ,0.00 ,2.33 ,,,4.66808759,4.72707744,4.93834457,3.60799086,4.66942846,5.26991903,4.27781543,5.2788633,5.4230836,4.94433459,4.09635376,4.79865755,4.09756964,3.84235957,4.64277109,4.59069697,4.21645621,3.97099737,5.29240672,5.11492442,4.23164796,3.82962535,4.09815898,,,1.594176005,1.5767906,1.315327338,53.03566478,2.008006102,1.619849533,21.20707962,1.555545978,1.303693537,1.708648687,17.61941962,1.685532404,29.67573031,111.3727251,4.126513055,1.780860782,1.919052862,56.13128389,1.228709091,1.746626443,8.216913702,139.8839706,27.78797172,,P1,100 ,0 ,0 ,,,6,9,1,0,4,9,0,0,17,0,0,0,0,0,5,0,0,0,6,13,0,0,0
P6,Human,6,,P6,6,2,9,17,P6,29.41 ,70.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.67575085,4.72705301,4.93799906,3.60991441,4.66931688,5.22797407,3.8113739,5.29164408,5.42221381,4.94423091,4.09621459,4.79872659,4.09461086,3.5632437,4.97009106,4.59069697,3.75066265,3.66875854,5.2743126,5.09749331,3.76282855,3.85302861,4.09777773,,,1.232316254,1.719937187,1.751166159,47.37245267,3.647427124,0.573175006,80.87645948,1.656882435,1.044440559,1.517533999,104.2424399,3.076716718,18.51514058,87.31232217,0.996235138,1.865814621,3.874129581,17.30165062,1.290844909,1.282288944,16.40029723,29.53951721,23.30429207,,P6,100 ,0 ,0 ,,,6,9,1,0,4,4,0,0,17,0,0,0,0,0,13,0,0,0,5,12,0,0,0
P7,Human,4,,P7,4,8,2,14,P7,35.71 ,28.57 ,0.00 ,0.00 ,0.00 ,28.57 ,7.14 ,0.00 ,,,4.66809691,4.72691458,4.93946933,3.60991441,4.66939127,5.22797407,3.81130684,5.2906422,5.42244538,4.94795789,4.09471563,4.79936123,4.09750025,3.52865965,4.64277109,4.58777829,3.75081684,3.66875854,5.28249976,5.12151717,3.76260355,4.11577688,4.09656244,,,1.197525443,2.953304321,1.598044173,22.50930174,2.186371715,0.591199268,0.263010324,1.435924319,1.493847386,1.610958604,77.35626296,3.018225742,49.32586815,12.36480478,1.611700588,3.462822631,8.535858565,11.58659193,0.947551948,1.368592233,18.39615953,22.12672837,44.29212057,,P7,100 ,0 ,0 ,,,6,9,1,0,4,4,0,0,16,0,0,0,0,0,5,0,0,0,5,14,0,0,0
P9,Human,1,,P9,1,7,5,13,P9,53.85 ,46.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66805028,4.72711814,4.93807419,3.60991441,4.66942846,5.22914408,3.8113739,5.27886559,5.42799379,4.94673221,4.09763902,4.79868517,4.09565744,3.52801634,4.66441631,4.88944177,3.75035409,3.66885165,,,,,,,,2.007871033,2.458195893,1.257604055,29.42502013,2.870675796,1.633080045,26.65161665,1.353863076,1.0941198,0.930512571,60.3416308,2.371388164,51.21065379,28.34743426,1.982104489,1.100179841,36.46648632,32.48605728,,,,,,,P9,100 ,0 ,0 ,,,6,9,1,0,4,6,0,0,15,0,0,0,0,0,6,0,0,0,,,,,
P11,Human,1,,P11,1,9,2,12,P11,50.00 ,33.33 ,0.00 ,16.67 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66639629,4.72711,4.93810424,3.60799086,4.66943776,5.24298345,3.8109714,5.2788633,5.41679689,4.94644244,4.09933528,4.79570626,4.09916249,3.52801634,,,,,,,,,,,,1.574375199,1.363965102,1.458657134,2.154996764,2.585454506,1.543383378,22.45896822,1.371007161,1.041516831,0.990970154,19.3232029,2.081916351,64.15752134,48.7935911,,,,,,,,,,,P11,0 ,92 ,8 ,,,6,9,1,0,4,7,0,0,17,0,0,0,0,0,,,,,,,,,
P12,Human,1,,P12,1,2,8,11,P12,0.00 ,63.64 ,9.09 ,9.09 ,0.00 ,9.09 ,9.09 ,0.00 ,,,4.66649926,4.72711,4.93714161,3.61002102,4.66934478,5.24156889,3.81043416,5.27884959,5.43457848,4.94640313,4.09656244,,,,,,,,,,,,,,,1.600419514,1.446638818,1.785888766,29.05570981,2.729525127,1.06401054,0.376083205,1.406521912,0.966204079,0.950695756,70.11621398,,,,,,,,,,,,,,P12,100 ,0 ,0 ,,,6,9,1,0,4,7,0,0,18,0,0,,,,,,,,,,,,
P15,Human,3,,P15,3,6,1,10,P15,0.00 ,60.00 ,20.00 ,0.00 ,0.00 ,20.00 ,0.00 ,0.00 ,,,4.68660052,4.7257565,4.93843466,3.610873,4.96993284,5.22925937,3.8113739,5.27887016,5.43542069,4.95571661,,,,,,,,,,,,,,,,1.81259102,1.694665805,1.312668987,16.52038677,1.424570582,1.431829238,1.251223912,1.337178711,1.121504307,1.216830625,,,,,,,,,,,,,,,P15,100 ,0 ,0 ,,,6,9,1,0,9,6,0,0,17,0,,,,,,,,,,,,,
P22,Human,4,,P22,4,3,1,8,P22,25.00 ,12.50 ,0.00 ,12.50 ,25.00 ,25.00 ,0.00 ,0.00 ,,,4.66809691,4.72711,4.93815432,3.60980777,4.66945635,5.24346965,3.8113739,5.27886102,5.43309107,,,,,,,,,,,,,,,,,0.971648312,1.368549327,1.545362851,10.93909176,2.497513921,1.256295415,0.339107337,1.352342803,1.086939081,,,,,,,,,,,,,,,,P22,0 ,100 ,0 ,,,6,10,1,0,4,7,0,0,15,,,,,,,,,,,,,,
P24,Human,2,,P24,2,4,2,8,P24,62.50 ,12.50 ,0.00 ,12.50 ,12.50 ,0.00 ,0.00 ,0.00 ,,,4.9812975,4.72711,4.94477375,,4.66953072,5.22912358,3.81123977,5.27884959,,,,,,,,,,,,,,,,,,1.513097545,1.532988294,1.378754863,,2.003353228,1.349102702,78.37664109,1.382997372,,,,,,,,,,,,,,,,,P24,13 ,88 ,0 ,,,12,10,1,,4,6,0,0,,,,,,,,,,,,,,,
P38,Human,2,,P38,2,1,4,7,P38,14.29 ,71.43 ,0.00 ,0.00 ,0.00 ,14.29 ,0.00 ,0.00 ,,,4.66808759,4.72711,4.93165107,,4.66946565,5.22850558,3.8113739,5.29162855,,,,,,,,,,,,,,,,,,1.179089976,1.891324052,1.033238101,,1.740139511,1.498764853,77.26835858,1.336709475,,,,,,,,,,,,,,,,,P38,100 ,0 ,0 ,,,6,9,1,,4,7,0,0,,,,,,,,,,,,,,,
P57,Human,2,,P57,2,2,2,6,P57,50.00 ,50.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.67574169,4.72711,4.94479841,,4.66939127,,3.81157501,5.28176491,,,,,,,,,,,,,,,,,,1.173034771,1.85387525,1.335870004,,2.30318765,,65.82826892,1.657889631,,,,,,,,,,,,,,,,,P57,0 ,100 ,0 ,,,7,9,1,,4,,0,0,,,,,,,,,,,,,,,
P72,Human,1,,P72,1,3,1,5,P72,60.00 ,0.00 ,0.00 ,20.00 ,0.00 ,20.00 ,0.00 ,0.00 ,,,4.66809691,4.72711,4.94237023,,4.66938197,,3.81083715,,,,,,,,,,,,,,,,,,,1.155832607,1.445454111,1.591121761,,2.23766068,,19.59963026,,,,,,,,,,,,,,,,,,P72,100 ,0 ,0 ,,,6,9,1,,4,,0,,,,,,,,,,,,,,,,
P76,Human,1,,P76,1,2,2,5,P76,40.00 ,40.00 ,0.00 ,0.00 ,20.00 ,0.00 ,0.00 ,0.00 ,,,4.66804095,4.72704487,4.94463564,,4.68432461,,,,,,,,,,,,,,,,,,,,,2.138648698,1.469054706,1.451505952,,1.671567008,,,,,,,,,,,,,,,,,,,,P76,0 ,100 ,0 ,,,6,9,1,,4,,,,,,,,,,,,,,,,,,
P79,Human,3,,P79,3,1,1,5,P79,20.00 ,80.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66808759,4.72534799,4.94664873,,,,,,,,,,,,,,,,,,,,,,,3.112962242,1.180273002,1.359897305,,,,,,,,,,,,,,,,,,,,,,P79,0 ,0 ,100 ,,,6,9,1,,,,,,,,,,,,,,,,,,,,
P98,Human,1,,P98,1,1,2,4,P98,75.00 ,25.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66814354,4.72292171,,,,,,,,,,,,,,,,,,,,,,,,2.627639331,1.58490396,,,,,,,,,,,,,,,,,,,,,,,P98,100 ,0 ,0 ,,,6,9,,,,,,,,,,,,,,,,,,,,,
P105,Human,1,,P105,1,2,1,4,P105,25.00 ,75.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66652734,4.72703673,,,,,,,,,,,,,,,,,,,,,,,,1.775950724,2.395925398,,,,,,,,,,,,,,,,,,,,,,,P105,100 ,0 ,0 ,,,6,9,,,,,,,,,,,,,,,,,,,,,
P114,Human,2,,P114,2,1,1,4,P114,25.00 ,0.00 ,50.00 ,0.00 ,25.00 ,0.00 ,0.00 ,0.00 ,,,4.66651798,4.72711814,,,,,,,,,,,,,,,,,,,,,,,,1.905000869,2.391800639,,,,,,,,,,,,,,,,,,,,,,,P114,0 ,100 ,0 ,,,6,9,,,,,,,,,,,,,,,,,,,,,
P119,Human,2,,P119,2,1,1,4,P119,75.00 ,25.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,4.66652734,,,,,,,,,,,,,,,,,,,,,,,,,2.018526452,,,,,,,,,,,,,,,,,,,,,,,,P119,0 ,100 ,0 ,,,7,,,,,,,,,,,,,,,,,,,,,,
