year,treatment,plot
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,removal,23
2015,removal,23
2015,removal,23
2015,control,14
2015,control,14
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,removal,10
2015,exclosure,3
2015,exclosure,3
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,removal,16
2015,exclosure,19
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,23
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,removal,10
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,3
2015,exclosure,3
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,23
2015,removal,16
2015,removal,23
2015,removal,16
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,exclosure,3
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,4
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,11
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,control,14
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,15
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,exclosure,19
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,control,17
2015,exclosure,21
2015,exclosure,21
2015,exclosure,21
