date	Jan	Feb	Mar	Apr
1	3577	3913	4314	3125
2	3860	4516	4330	4846
3	3539	4792	3184	4621
4	3805	3919	3793	4066
5	4419	4287	4376	4910
6	4789	4949	3296	3485
7	4774	4609	4601	4489
8	3013	4512	4468	3822
9	4945	3556	4538	3706
10	4486	3952	3716	4572
11	4659	4716	4453	3422
12	4195	4643	3265	3640
13	4545	4998	3133	3013
14	4311	4124	4388	3921
15	4171	3211	3035	4278
16	3636	3267	3850	4512
17	4119	4546	4961	4478
18	4291	4572	4655	3486
19	3033	4407	4931	3534
20	4388	3982	4647	3662
21	4959	4252	3381	4295
22	3152	3803	4093	3783
23	4388	4214	3851	3502
24	3912	3549	4363	3628
25	4743	4813	4005	4710
26	3495	4423	4567	4222
27	4713	3791	4241	3898
28	4646	4630	3735	3906
29	4226	3284	4949	4649
30	3565	4109	4514	3085
31	3599	4667	3968	4865
